n01664065,n01665541,n01697457,n01698640,n01737021,0,0
n09193705,n04228054,n02090721,n02092002,n04208210,1,1
n02105855,n02106030,n02086910,n02112018,n02364673,1,1
n07920052,n02823750,n07930864,n07932039,n07584110,0,0
n02091032,n02804414,n03131574,n03938244,n02085620,0,0
n01755581,n01729322,n01740131,n01744401,n01728572,0,0
n02346627,n01872401,n02363005,n02447366,n02396427,1,1
n07615774,n03690938,n04116512,n07614500,n04357314,0,0
n01694178,n03201208,n02788148,n01532829,n02797295,0,0
n02113624,n02112018,n02086079,n02342885,n02085936,0,0
n01917289,n07754684,n09256479,n02526121,n02655020,1,1
n02125311,n02129165,n02127052,n02130308,n02128925,1,1
n02484975,n02486261,n02488291,n02487347,n02493793,1,1
n04065272,n03769881,n02701002,n04487081,n03895866,1,1
n03496892,n04428191,n04465501,n07802026,n04467665,1,1
n02066245,n01665541,n01664065,n02398521,n02640242,1,1
n01443537,n01632777,n03325584,n02948072,n07753275,0,0
n01616318,n01608432,n02002724,n02002556,n02006656,1,1
n02971356,n03179701,n03337140,n03201208,n03014705,1,1
n03126707,n03532672,n02999410,n06794110,n04141327,1,1
n01737021,n02013706,n02363005,n02346627,n01601694,0,1
n02090721,n02091134,n02099849,n02091831,n02092339,0,0
n07742313,n07720875,n03935335,n07753113,n12267677,1,1
n03956157,n03788195,n03220513,n03457902,n04417672,1,1
n01616318,n01829413,n01514859,n01795545,n01797886,1,1
n04380533,n03388549,n03982430,n03452741,n03788365,1,1
n02114548,n02134084,n02114367,n02120079,n02104029,1,1
n02089867,n02088364,n02089973,n02107574,n02113186,0,1
n01749939,n01729977,n01739381,n01740131,n01693334,0,1
n02843684,n02825657,n03452741,n03781244,n03028079,0,0
n02280649,n02281406,n02206856,n11939491,n02219486,1,1
n03444034,n04037443,n03649909,n03445924,n04285008,1,1
n02444819,n01641577,n01737021,n01667778,n02363005,0,0
n04371774,n09835506,n03388043,n04507155,n03891332,0,1
n03478589,n04389033,n02704792,n04461696,n03594945,1,1
n04532106,n04429376,n02895154,n04192698,n02699494,1,1
n01945685,n02233338,n01944390,n02167151,n01728572,0,0
n02666196,n04525305,n04023962,n03461385,n04200800,1,1
n04525038,n04141327,n02769748,n03709823,n04026417,0,1
n02206856,n02268443,n02219486,n01776313,n02279972,0,0
n02804414,n03125729,n03188531,n03887697,n03630383,0,1
n04049303,n04590129,n04447861,n03924679,n03065424,1,1
n02006656,n02007558,n02012849,n02009912,n02002556,1,1
n02098286,n02098105,n02096177,n02097047,n02096437,0,0
n02105251,n02111277,n02092002,n02106382,n02090721,0,1
n04398044,n04560804,n03950228,n03063689,n03602883,0,1
n03393912,n03032252,n04418357,n04200800,n03388043,1,1
n02089867,n02088364,n02089973,n02088238,n02088632,0,1
n04285008,n03930630,n04037443,n03100240,n02930766,0,1
n04435653,n04141327,n12144580,n02963159,n04532106,0,0
n01580077,n01824575,n01828970,n02011460,n02017213,0,1
n01632777,n01443537,n07714990,n01943899,n01985128,1,1
n04372370,n03196217,n04125021,n04254120,n03075370,1,1
n03485794,n02834397,n04476259,n02730930,n03291819,1,1
n02342885,n02443114,n03825788,n02443484,n02441942,0,1
n02930766,n02814533,n04146614,n02974003,n03930630,1,1
n02112018,n02105855,n02106030,n02112137,n02086079,1,1
n13040303,n01631663,n12985857,n07734744,n12998815,1,1
n04367480,n03141823,n04485082,n04517823,n03733131,0,1
n03482405,n03127925,n02971356,n03014705,n02910353,1,1
n02536864,n03000247,n03980874,n02963159,n04350905,0,1
n02099429,n02097130,n02113799,n02102973,n02099267,0,0
n01910747,n01496331,n01498041,n01491361,n01494475,1,1
n02259212,n01644373,n01682714,n01693334,n01729977,0,1
n04371430,n02100583,n02087394,n04136333,n02837789,1,1
n02526121,n02655020,n02606052,n01664065,n09256479,1,1
n01871265,n02504013,n02504458,n02408429,n02480855,1,1
n04532106,n03485794,n04127249,n04026417,n03637318,1,1
n04482393,n03720891,n02909870,n07615774,n03825788,1,1
n07615774,n04584207,n02786058,n04355933,n03724870,0,0
n02536864,n02640242,n02514041,n03873416,n02930766,0,0
n02074367,n01491361,n01484850,n01751748,n02077923,1,1
n01608432,n01819313,n02012849,n02002556,n01616318,1,1
n04462240,n02966193,n06596364,n03089624,n02871525,0,1
n01795545,n01514859,n01514668,n01807496,n02017213,1,1
n02791270,n02871525,n04443257,n02776631,n04200800,1,1
n02087394,n02100583,n02109047,n02090379,n02108422,1,1
n02116738,n02114367,n02117135,n02486410,n02488291,1,1
n02091635,n02102318,n02097474,n02105251,n02093991,1,1
n02895154,n03146219,n02939185,n02795169,n02909870,1,1
n09193705,n09468604,n09246464,n03792972,n09472597,1,1
n02088094,n02111277,n02102480,n02099267,n02101006,1,1
n03721384,n03179701,n03916031,n04200800,n02776631,0,1
n01629819,n01630670,n01945685,n01773797,n01773157,0,0
n04037443,n04285008,n03100240,n02814533,n03476684,0,0
n03032252,n04081281,n02966193,n04429376,n03877845,1,1
n02488702,n02483708,n02492660,n01739381,n02457408,0,1
n02321529,n01955084,n01950731,n01924916,n02219486,0,0
n04074963,n03793489,n02992529,n03777754,n03485407,0,1
n02177972,n01693334,n01689811,n01694178,n02168699,0,0
n02104029,n02114548,n02437616,n02111889,n02090622,0,1
n02497673,n02500267,n02484975,n02483362,n02488702,1,1
n02480855,n02492660,n02493793,n02500267,n02114712,1,1
n02981792,n04612504,n04147183,n04483307,n03947888,0,1
n02487347,n02486410,n02492035,n02488291,n02486261,1,1
n04335435,n02704792,n03895866,n03796401,n03272562,0,1
n02326432,n02325366,n01883070,n02363005,n02442845,0,1
n02011460,n02013706,n02033041,n02177972,n07734744,0,1
n07745940,n07768694,n12620546,n01833805,n04522168,1,1
n02415577,n02417914,n02412080,n02132136,n02361337,1,1
n02951585,n03887697,n03532672,n04579432,n03658185,1,1
n02087394,n02090379,n02109047,n02088466,n02100583,1,1
n04485082,n02749479,n03759954,n04090263,n03109150,1,1
n03085013,n03642806,n03832673,n04505470,n04264628,0,1
n02094433,n02097658,n01514859,n02102318,n02105251,0,1
n02085620,n01443537,n04399382,n04584207,n04522168,0,0
n01770081,n01773549,n04507155,n01774384,n02231487,1,1
n04536866,n02992211,n02676566,n03272010,n03854065,0,1
n03691459,n04554684,n04041544,n02979186,n04069434,1,1
n04136333,n02730930,n03770439,n03866082,n03594734,0,1
n01983481,n02948072,n04081281,n01978287,n01985128,1,1
n07749582,n07747607,n03637318,n04409515,n07716906,0,0
n02105412,n02107312,n02085620,n02087046,n02107142,1,1
n04086273,n04067472,n04517823,n02951585,n03527444,0,0
n02110806,n02113023,n02088364,n02088238,n02091244,0,1
n07831146,n07716906,n07711569,n04263257,n07579787,1,1
n03710637,n03710721,n02808440,n02837789,n03770439,1,1
n03271574,n04286575,n04332243,n03065424,n03775546,0,0
n03942813,n04239074,n03529860,n03290653,n04501370,0,0
