n01751748,n01698640,n01755581,n01729322,n01740131
n04228054,n09193705,n04208210,n03792972,n03218198
n02106030,n02105855,n02106166,n01514668,n01440764
n04263257,n07930864,n07932039,n07920052,n03063599
n02804414,n03125729,n03131574,n04099969,n03908618
n01751748,n01744401,n01755581,n01689811,n02526121
n02346627,n02445715,n01872401,n02397096,n02396427
n02802426,n03314780,n04409515,n04118538,n07697537
n03794056,n01688243,n01694178,n01677366,n02094258
n02123394,n02085936,n02328150,n02113624,n02086079
n01917289,n01440764,n03775071,n03775546,n03776460
n02125311,n02129165,n02127052,n02128925,n01440764
n02484975,n02486261,n01440764,n03775071,n03775546
n04065272,n03769881,n03776460,n03977966,n03775071
n03496892,n04428191,n04467665,n11879895,n04465501
n02066245,n01440764,n03775546,n03776460,n03777568
n01632777,n01443537,n09472597,n02120505,n02395406
n01608432,n01614925,n01616318,n02002556,n02002724
n02971356,n03014705,n03908714,n03337140,n03179701
n03126707,n04311004,n03532672,n04366367,n03240683
n02346627,n01872401,n02490219,n02363005,n02493509
n02093256,n02099712,n02099849,n02091134,n02110958
n07742313,n07749582,n07747607,n07753113,n07768694
n03956157,n03220513,n01440764,n03775546,n03776460
n01616318,n01795545,n01608432,n01614925,n01798484
n04380533,n03179701,n03388549,n03637318,n03201208
n02114548,n02114367,n02120079,n02115641,n02134084
n02089867,n02088364,n02109525,n02113186,n02089973
n01729977,n01739381,n01740131,n01749939,n01693334
n04435653,n02843684,n03220513,n04346328,n03028079
n02280649,n02281406,n02281787,n02264363,n02276258
n03444034,n04285008,n03127747,n04037443,n03791053
n02444819,n02098286,n02093754,n02077923,n02094114
n09835506,n03891332,n04507155,n03763968,n02879718
n03478589,n04389033,n03496892,n02704792,n03763968
n04532106,n03000247,n01440764,n03775071,n03775546
n02219486,n01630670,n01945685,n01944390,n01631663
n02666196,n02791270,n03998194,n02672831,n03970156
n03527444,n04141327,n04548362,n04428191,n03709823
n01776313,n02190166,n02206856,n02177972,n01773797
n02804414,n03125729,n04235860,n03814639,n04370456
n04049303,n02747177,n02795169,n02909870,n04560804
n02006656,n02012849,n02007558,n02018795,n02009912
n02097047,n02097209,n02097130,n02102318,n02093991
n02111277,n02108551,n02099267,n02092002,n02110627
n03063689,n03950228,n04398044,n04380533,n03584829
n03393912,n02966687,n04418357,n03854065,n04462240
n02109525,n02108089,n02089973,n02089867,n02088364
n02930766,n03930630,n02974003,n03100240,n04037443
n02514041,n02927161,n02641379,n01669191,n07716358
n01828970,n02268443,n01824575,n01608432,n01558993
n01632777,n01440764,n03773504,n03775071,n03775546
n04372370,n03773504,n03775071,n03775546,n03776460
n03485794,n04476259,n01440764,n03775071,n03775546
n02443114,n02441942,n02443484,n02342885,n02442845
n02930766,n02814533,n03930630,n03770679,n04146614
n02086079,n02112018,n02112137,n02086240,n02112350
n13040303,n07734744,n13054560,n12998815,n12985857
n04485082,n04367480,n03141823,n03495258,n02992211
n03482405,n03314780,n03014705,n03832673,n03666591
n03980874,n02963159,n04325704,n04599235,n03594734
n02102973,n02099429,n02097130,n02101006,n02099267
n01910747,n01498041,n01496331,n01440764,n03775546
n01632777,n02640242,n01693334,n01682714,n01630670
n04371430,n03535780,n02837789,n04254680,n03888605
n02526121,n03775071,n03775546,n03776460,n03777568
n01871265,n02504458,n02504013,n02397096,n01440764
n04532106,n03485794,n04476259,n03709823,n02834397
n04482393,n02909870,n03623198,n03127747,n04557648
n04584207,n07615774,n03980874,n02963159,n02786058
n02536864,n04033901,n02514041,n02640242,n01443537
n02074367,n01491361,n01484850,n01494475,n01496331
n01608432,n01819313,n02018795,n01616318,n01855672
n02966193,n01440764,n03775071,n03775546,n03776460
n01795545,n01514668,n02017213,n01616318,n03791053
n02791270,n04443257,n04081281,n04200800,n02776631
n02087394,n02090379,n02100583,n02109047,n02091134
n02116738,n02109047,n02117135,n02093428,n02091134
n02091635,n02096177,n02099601,n02094114,n02093991
n02895154,n02939185,n04192698,n03146219,n07930864
n09193705,n03792972,n03792782,n09468604,n09246464
n02088094,n01440764,n03775546,n03776460,n03777568
n04200800,n03201208,n03018349,n02790996,n03840681
n01775062,n01737021,n01631663,n02167151,n04275548
n02814533,n03100240,n03459775,n02974003,n04037443
n03032252,n03781244,n04081281,n03775071,n03775546
n02492660,n02493509,n02457408,n02483708,n02493793
n01978455,n01984695,n01632458,n01955084,n01985128
n02992529,n03485407,n04074963,n01440764,n03775546
n01698640,n01833805,n01689811,n01697457,n12620546
n02114548,n02104029,n02111889,n02114367,n02111500
n02484975,n02488702,n02486261,n02497673,n02500267
n02480855,n02492660,n02484975,n02493793,n02488291
n02981792,n03947888,n04147183,n04612504,n03216828
n02487347,n02489166,n02129165,n02484975,n02488291
n03895866,n03272562,n04335435,n04310018,n03796401
n02325366,n02326432,n01877812,n01883070,n03776460
n02033041,n02027492,n02028035,n02177972,n02011460
n07745940,n12620546,n03530642,n07760859,n02281787
n02415577,n02417914,n02412080,n02396427,n02408429
n02951585,n04579432,n03676483,n04033901,n03483316
n02087394,n02109047,n02105162,n02107142,n02091134
n04485082,n02841315,n02749479,n04090263,n03692522
n04264628,n04505470,n03085013,n02892201,n03832673
n02097658,n02094433,n02094114,n02096177,n02105251
n04591157,n04532106,n03450230,n10148035,n02883205
n01770081,n01776313,n04275548,n03627232,n02268443
n04536866,n02992211,n03532672,n03272010,n04515003
n03691459,n04041544,n04392985,n04372370,n02979186
n03594734,n02730930,n04136333,n02797295,n03770439
n01983481,n01981276,n01985128,n01978287,n13133613
n03937543,n03476991,n07768694,n03633091,n04131690
n02105412,n02087046,n02107312,n02107142,n02091244
n02841315,n04067472,n03995372,n03255030,n03843555
n02091244,n02808440,n02110806,n04493381,n04476259
n07831146,n04263257,n07716906,n04332243,n03775546
n03710637,n03710721,n02837789,n03450230,n03770439
n04238763,n03961711,n03447721,n03065424,n03017168
n02977058,n03770439,n03902125,n03290653,n03529860
n03733131,n01440764,n03775546,n03776460,n03777568
n03877845,n02859443,n04346328,n03216828,n04044716
n02980441,n02814860,n02825657,n03781244,n03028079
n04409515,n01440764,n03775071,n03775546,n03776460
n01950731,n02655020,n01924916,n01955084,n02526121
n02229544,n12620546,n02226429,n02268443,n12267677
n02883205,n04579432,n04350905,n03141823,n03759954
n02422699,n02423022,n02115641,n02422106,n02129165
n01616318,n01560419,n01608432,n01532829,n01797886
n07697537,n07583066,n07714990,n07697313,n07880968
n02123394,n02123045,n02123159,n02127052,n02112137
n04252077,n02860847,n04252225,n03218198,n03785016
n03337140,n03018349,n04004767,n03259280,n03347037
n02117135,n02116738,n01440764,n03775546,n03776460
n02107142,n02107312,n02093428,n02106550,n02092339
n04037443,n04552348,n03417042,n02687172,n03777568
n02444819,n02454379,n02447366,n02120505,n02396427
n03908618,n04380533,n04476259,n03201208,n13133613
n02319095,n01914609,n07730033,n03729826,n02165456
n07920052,n07932039,n02823750,n07930864,n07892512
n02100735,n02111500,n02104029,n02110341,n02090622
n02088466,n02088238,n02109047,n02089078,n02092339
