n01751748,n01729322,n01737021,n01755581,n01753488
n04228054,n04208210,n09193705,n03792972,n04229816
n02106030,n02105855,n02090622,n02088094,n02105056
n07920052,n07930864,n03063599,n04263257,n07932039
n03131574,n02804414,n03125729,n03482405,n03026506
n01755581,n01751748,n01729322,n01744401,n01740131
n02346627,n01872401,n02447366,n01440764,n03775546
n04409515,n02776631,n03938244,n04116512,n07615774
n02137549,n01688243,n13133613,n01694178,n01687978
n02328150,n02085936,n02123394,n02098413,n02113624
n01917289,n09256479,n07754684,n02655020,n02526121
n02125311,n02129165,n02127052,n02128385,n02128925
n02484975,n02486261,n02493509,n02487347,n02494079
n04065272,n03776460,n03796401,n03895866,n03769881
n03496892,n04428191,n07802026,n04467665,n04465501
n02066245,n01440764,n03775546,n03776460,n03777568
n01443537,n01632777,n01514668,n07768694,n12620546
n01608432,n01824575,n01616318,n02006656,n02012849
n02971356,n04009552,n04125021,n03337140,n03179701
n03126707,n03532672,n04366367,n03933933,n01440764
n02346627,n02490219,n01872401,n02137549,n02356798
n02091244,n02091134,n02412080,n02089973,n02091831
n07742313,n07753592,n07753113,n03991062,n04254120
n03956157,n03220513,n03788195,n04346328,n03457902
n01616318,n01514859,n01440764,n03775546,n03776460
n04380533,n03637318,n03179701,n04179913,n01440764
n02114548,n02114367,n02412080,n02110185,n02134084
n02089867,n02109525,n02089973,n02088364,n02107574
n01729977,n01740131,n01739381,n01749939,n01693334
n03903868,n03220513,n04435653,n03661043,n03930313
n02280649,n02281406,n02277742,n02281787,n03991062
n03444034,n03649909,n03384352,n04037443,n02704792
n01698640,n02444819,n02095570,n01667114,n02077923
n09835506,n04371774,n03763968,n04507155,n03424325
n03478589,n04389033,n02950826,n03763968,n02704792
n04532106,n02895154,n02699494,n03000247,n04429376
n01630670,n01632777,n01631663,n01687978,n01685808
n02666196,n02672831,n04501370,n03998194,n04005630
n04548362,n03527444,n04525038,n03709823,n04026417
n01773797,n01776313,n04275548,n01773549,n06359193
n02804414,n03125729,n03131574,n03642806,n04235860
n04049303,n02795169,n01440764,n03775071,n03775546
n02006656,n02012849,n02002724,n02007558,n02002556
n02097209,n02097047,n02097130,n02093991,n02098105
n02111277,n02108551,n02106382,n02099267,n02110627
n04380533,n03950228,n03063689,n04560804,n03271574
n03393912,n01440764,n03775546,n03776460,n03777568
n02089973,n02089867,n02108089,n02088364,n02109525
n02930766,n03930630,n04037443,n04146614,n02974003
n02536864,n02927161,n04550184,n02514041,n04325704
n02268443,n01828970,n01797886,n01824575,n02268853
n01632777,n01440764,n03773504,n03775071,n03775546
n04372370,n03773504,n03775071,n03775546,n03776460
n03485794,n01440764,n03775546,n03776460,n03777568
