n01737021,n01698640,n01697457,n01665541,n01744401
n04228054,n09193705,n04208210,n04229816,n03776460
n02105855,n02106030,n01440764,n03776460,n03777568
n07932039,n04263257,n07930864,n03775546,n07584110
n02804414,n03131574,n03125729,n03188531,n03482405
n01737021,n01735189,n01751748,n01740131,n01729322
n02490219,n02346627,n02457408,n02097474,n02493509
n03314780,n04409515,n03690938,n03920288,n03929660
n01883070,n03794056,n01882714,n02137549,n02342885
n02123394,n02364673,n02342885,n02085936,n02086079
n01917289,n09256479,n01496331,n01498041,n02655020
n02125311,n02127052,n01440764,n03776460,n03777568
n02484975,n02486261,n02488702,n02487347,n02493509
n04065272,n03769881,n03776460,n02701002,n03977966
n03496892,n04428191,n04465501,n03967562,n04467665
n02066245,n01665541,n01440764,n03775546,n03776460
n01443537,n01632777,n02317335,n03347037,n03325584
n01608432,n01616318,n01824575,n01614925,n02013706
n02971356,n03127925,n03337140,n03014705,n03179701
n03126707,n04311004,n03933933,n03775071,n03775546
n02346627,n02013706,n02363005,n02490219,n02486410
n02403003,n03868242,n02091244,n03967562,n02093428
n07742313,n07720875,n02948072,n01440764,n03775071
n03956157,n03220513,n01440764,n03775546,n03776460
n01616318,n01797886,n01795545,n01807496,n01514859
n04380533,n03637318,n03179701,n03903868,n02843684
n02114548,n02114367,n02120079,n02115641,n01440764
n02088364,n02089867,n02113186,n02089973,n02113023
n01749939,n01729977,n01739381,n01740131,n01693334
n02843684,n03482405,n03220513,n02825657,n04590129
n02280649,n02281406,n02277742,n02281787,n01440764
n03444034,n04037443,n04285008,n02704792,n02974003
n02444819,n02655020,n02077923,n02110341,n01817953
n04005630,n04371774,n04239074,n04507155,n03763968
n03478589,n04389033,n04461696,n02704792,n03496892
n04532106,n04429376,n02895154,n04192698,n03775071
n01632777,n01630670,n01873310,n01945685,n01496331
n02666196,n02672831,n01440764,n03775071,n03775546
n03527444,n03709823,n04026417,n02910353,n04548362
n01773797,n01773549,n04275548,n01773157,n01775062
n02804414,n03125729,n03887697,n04235860,n03131574
n04049303,n02795169,n02747177,n01440764,n03775546
n02006656,n02012849,n02007558,n02009912,n01440764
n02097209,n02097047,n02097130,n02097298,n02095889
n02111277,n02108551,n02090721,n02105251,n02088094
n03950228,n03063689,n04560804,n04522168,n04398044
n03393912,n01440764,n03775546,n03776460,n03777568
n02088364,n02089973,n02089867,n02110806,n02107574
n02930766,n03930630,n02974003,n02814533,n03459775
n02233338,n02927161,n01669191,n04277352,n04141327
n01828970,n01824575,n02011460,n01580077,n01608432
n01632777,n01440764,n03773504,n03775071,n03775546
n04372370,n03773504,n03775071,n03775546,n03776460
n03485794,n02808304,n04033995,n02730930,n03938244
n02443484,n02443114,n02441942,n02342885,n02492035
n02930766,n03770679,n04146614,n03796401,n02814533
n02112018,n02086079,n02112350,n02085620,n02112137
n13040303,n13037406,n12985857,n01631663,n13044778
n04367480,n03141823,n04485082,n02906734,n03970156
n03482405,n03691459,n03666591,n04041544,n03180011
