n01737021,n01751748,n01697457,n01729322,n01665541
n04228054,n09193705,n04208210,n04507155,n03218198
n02105855,n02106030,n02086910,n02106166,n02113023
n03775546,n04263257,n07932039,n03063599,n07613480
n03131574,n02804414,n03125729,n02808304,n04476259
n01755581,n01740131,n01728572,n01751748,n01737021
n02346627,n02363005,n02444819,n02447366,n01872401
n02808304,n03938244,n04133789,n04120489,n04599235
n02843684,n01688243,n01534433,n01694178,n01532829
n02112018,n02086079,n02123394,n02085936,n02328150
n01917289,n02655020,n07754684,n02319095,n09256479
n02125311,n02123159,n02124075,n02128925,n02129165
n02484975,n02486261,n02488291,n02488702,n02487347
n04065272,n03769881,n03977966,n02701002,n03796401
n03496892,n04467665,n04428191,n04067472,n04154565
n02066245,n01484850,n01665541,n09472597,n02398521
n03325584,n04033901,n01632777,n01774750,n09472597
n01616318,n01608432,n01824575,n02442845,n01855032
n02971356,n02840245,n03179701,n03127925,n03014705
n03126707,n04026417,n04141076,n02999410,n03976657
n02346627,n02497673,n02493509,n02484975,n02363005
n02091134,n02091244,n03967562,n02110958,n02110063
n07742313,n07720875,n07753113,n04131690,n07760859
n03956157,n03788195,n03220513,n01440764,n03775546
n01616318,n01795545,n01807496,n01797886,n01824575
n03388549,n04380533,n03982430,n03452741,n03637318
n02114548,n02120079,n02114367,n02134084,n01440764
n02089867,n02089973,n02088364,n02088238,n02105412
n01749939,n01729977,n01739381,n01740131,n07716358
n03930313,n03924679,n02843684,n02825657,n03388549
n02280649,n02281406,n02206856,n03991062,n11939491
n03444034,n02704792,n04037443,n04285008,n03100240
n02444819,n02363005,n02098105,n02077923,n02361337
n04239074,n04507155,n04371774,n02791270,n04005630
n03478589,n04389033,n02704792,n04428191,n03496892
n04532106,n04429376,n02895154,n03617480,n03980874
n01632777,n01630670,n01534433,n01873310,n01945685
n02666196,n12144580,n03871628,n03908618,n03958227
n02916936,n04141327,n03709823,n03527444,n02910353
n01773797,n02219486,n02206856,n01776313,n01773549
n03188531,n03887697,n02804414,n03868863,n04235860
n04049303,n04501370,n03924679,n04590129,n02788148
n02006656,n02012849,n02007558,n03788365,n03788195
n02097209,n02097047,n02095570,n02095314,n02098105
n02111277,n02110627,n02106382,n02097130,n02105251
n04560804,n03063689,n04398044,n03584829,n03950228
n03393912,n04380533,n03868863,n03179701,n03721384
n02089867,n02088364,n02088238,n02089973,n02090379
n04285008,n02930766,n04037443,n03930630,n02974003
n03404251,n04141327,n04599235,n02927161,n03980874
n01824575,n01833805,n01828970,n01608432,n01580077
n01632777,n03887697,n12144580,n13133613,n07734744
n04372370,n03196217,n15075141,n03761084,n02910353
n03485794,n03938244,n02834397,n02730930,n10148035
n02443484,n02443114,n02342885,n02441942,n02442845
n02930766,n02814533,n03930630,n04146614,n04285008
n02112018,n02086079,n02112350,n02086910,n02112137
n13040303,n13037406,n01629819,n02169497,n03991062
n04367480,n02906734,n03141823,n04208210,n03970156
n03482405,n03527444,n03691459,n03803284,n04372370
n04370456,n04350905,n03980874,n03617480,n02536864
n02099429,n01518878,n02106382,n02113799,n02102973
n01910747,n01496331,n01498041,n01491361,n01494475
n02259212,n01693334,n02264363,n01682714,n07718472
n04371430,n04039381,n03976657,n04409515,n09835506
n02526121,n02606052,n02655020,n09256479,n01917289
n01871265,n02504458,n02504013,n01440764,n03773504
n04476259,n04532106,n04423845,n03485794,n04192698
n04482393,n03627232,n02909870,n07615774,n03188531
n07615774,n04584207,n03942813,n04579432,n03255030
n01818515,n02536864,n04208210,n02640242,n01817953
n02074367,n01491361,n02077923,n01498041,n01751748
n01608432,n01819313,n02086910,n02106166,n02123597
n02966193,n04462240,n04200800,n03724870,n03970156
n01795545,n01616318,n02017213,n01807496,n01514859
n02791270,n04443257,n02871525,n03661043,n04200800
n02087394,n02090379,n02108089,n02100583,n02091032
n02116738,n02109047,n02117135,n02091467,n02105162
n02105251,n02094114,n02094258,n02093991,n02096294
