n01740131,n01784675,n01728920,n01729322,n01742172
n04228054,n04479046,n03598930,n04200800,n09193705
n02106030,n02105855,n02086910,n02111500,n02085782
n07930864,n04263257,n03775546,n07614500,n04332243
n03131574,n02804414,n03482405,n03125729,n04235860
n01751748,n01740131,n01689811,n01784675,n01744401
n02504013,n02504458,n01871265,n02346627,n04254777
n02802426,n04409515,n04118538,n02799071,n03938244
n03938244,n03201208,n04259630,n03794056,n03637318
n04399382,n04493381,n04209239,n03942813,n03657121
n01917289,n01440764,n03775071,n03775546,n03776460
n02125311,n02127052,n02124075,n02129604,n02123045
n02484975,n02486261,n02488291,n02487347,n02488702
n04065272,n04004767,n03776460,n03796401,n03895866
n03496892,n04465501,n07802026,n06874185,n02808304
n02398521,n02111277,n04033995,n02066245,n03938244
n02395406,n03347037,n01774750,n01632777,n03804744
n04589890,n01608432,n04209239,n01675722,n01693334
n02971356,n03014705,n03291819,n04009552,n03337140
n03126707,n03532672,n02999410,n04044716,n04141327
n02346627,n02454379,n01872401,n02490219,n01532829
n02110958,n03938244,n02395406,n02111500,n02113799
n07742313,n07720875,n07749582,n07716906,n04560804
n03956157,n03220513,n01440764,n03775546,n03776460
n01665541,n01667114,n01616318,n01795545,n03998194
n04033995,n04380533,n03388549,n03938244,n04344873
n02114548,n02120079,n02134084,n02114367,n02111500
n02113023,n02113186,n02088364,n02106030,n02110063
n01729977,n01740131,n01749939,n01739381,n01734418
n03220513,n04070727,n02909870,n03028079,n03961711
n02280649,n02264363,n04589890,n03871628,n02236044
n04285008,n04037443,n03770679,n03977966,n03444034
n03598930,n02794156,n02883205,n04355338,n03938244
n09835506,n02841315,n03141823,n06785654,n03763968
n03478589,n04389033,n02704792,n03496892,n03763968
n04532106,n03000247,n04429376,n02699494,n03724870
n02233338,n02177972,n04589890,n01990800,n02219486
n02666196,n07248320,n03598930,n06596364,n04074963
n04548362,n03938244,n04033995,n03527444,n04141327
n01776313,n02177972,n02190166,n01775062,n02167151
n03938244,n02804414,n02834397,n03131574,n03125729
n04049303,n04554684,n02795169,n02909870,n03938244
n02006656,n02009912,n02012849,n01728920,n02007558
n02097209,n02097047,n02102318,n02097130,n02097658
n02111277,n02097658,n03938244,n03124170,n02105056
n03950228,n03063689,n04398044,n07930864,n03584829
n03393912,n03854065,n02948072,n07930864,n02699494
n01943899,n01944390,n02099712,n01968897,n02088364
n02930766,n03100240,n02974003,n03930630,n02814533
n03871628,n04141327,n02927161,n03041632,n01943899
n02268443,n02281787,n01828970,n02268853,n04589890
n01632777,n03935335,n03938244,n01943899,n03942813
n04372370,n03584254,n03777754,n04074963,n04554684
n03485794,n03938244,n02834397,n10148035,n03476684
n01944390,n02804414,n03188531,n03825788,n01943899
n02930766,n03770679,n03977966,n03670208,n02814533
n02112018,n02086079,n02086240,n02112137,n02085782
n03598930,n07734744,n04033995,n13054560,n04423845
n04367480,n04485082,n03141823,n04548280,n02906734
n03482405,n03676483,n03916031,n03657121,n03666591
n03980874,n02963159,n04325704,n03594734,n04350905
n02099429,n02099267,n02105056,n02111277,n02133161
n01910747,n06874185,n03196217,n03857828,n09256479
n01632777,n01693334,n01675722,n01682714,n02226429
n03763968,n04479046,n04371430,n02807133,n03141823
n02526121,n02074367,n02606052,n04589890,n02641379
n01871265,n02504458,n02504013,n01440764,n03773504
n03485794,n02834397,n03938244,n04532106,n03709823
n04482393,n04399382,n03188531,n04116512,n04584207
n04584207,n03692522,n03724870,n03584254,n03876231
n04033901,n02536864,n04235860,n01440764,n03938244
n02074367,n02808304,n04235860,n04259630,n03938244
n01608432,n03476684,n04589890,n01819313,n02643566
n02966193,n04462240,n03089624,n03720891,n03938244
n01795545,n01797886,n02017213,n01514859,n01582220
n02791270,n04443257,n02776631,n03032252,n02791124
n02090379,n02091032,n02092339,n02109047,n02087394
n02105162,n02091467,n02109047,n02116738,n02107312
n02091635,n02094258,n02096177,n02099601,n02093991
n02895154,n07930864,n03887697,n03775546,n04404412
n02782093,n03220513,n04523525,n03134739,n03956157
n02088094,n02111277,n02105251,n02105056,n02101006
n03018349,n04200800,n02790996,n02776631,n03961711
n01631663,n04153751,n01980166,n01667778,n01775062
n02814533,n04285008,n04442312,n03908714,n04037443
n03032252,n04429376,n02776631,n02791270,n03877845
n03992509,n01749939,n04591157,n03347037,n04554684
n03598930,n01914609,n02319095,n01751748,n09256479
n02992529,n04074963,n02979186,n03793489,n03777754
n04200800,n02177972,n03938244,n04275548,n01833805
n02114548,n02111889,n02111500,n04399382,n02104029
n02484975,n02488702,n02488291,n02483362,n02486410
n03871628,n01943899,n02317335,n02480855,n02219486
n03947888,n04147183,n03216828,n02981792,n03584829
n02487347,n02489166,n04399382,n02129165,n02488291
n04239074,n03895866,n02917067,n03272562,n04507155
n02325366,n02326432,n02396427,n01768244,n03794056
n02177972,n02033041,n07734744,n02027492,n02028035
n07745940,n07760859,n03530642,n07718472,n02177972
n03733281,n02454379,n03938244,n01917289,n02412080
n02951585,n15075141,n03584829,n03908714,n03887697
n02109047,n02107142,n02091134,n02090379,n02091032
n04485082,n02841315,n03498962,n02769748,n04090263
n04264628,n04004767,n03000247,n02892201,n07248320
n02097658,n02102318,n02098105,n04596742,n04599235
n04522168,n03938244,n03908618,n03476684,n03388183
n01770081,n03627232,n04275548,n01773549,n01775062
n04536866,n02992211,n03498962,n03041632,n03272010
n03691459,n04392985,n04041544,n02988304,n02979186
n03594734,n03124043,n04200800,n03623198,n03141823
n01985128,n01978287,n07714990,n07718472,n04447861
n07716906,n03018349,n07717556,n07749582,n07754684
n02105412,n02107312,n02107142,n02090379,n02087046
