,name,top1,top5
0,"(0,)",0.67978,0.87936
1,"(1,)",0.68328,0.88214
2,"(2,)",0.68378,0.8815
3,"(3,)",0.68258,0.88282
4,"(4,)",0.68342,0.88252
5,"(5,)",0.6844,0.88258
6,"(6,)",0.6835,0.88208
7,"(7,)",0.6838,0.8827
8,"(8,)",0.68378,0.8827
9,"(9,)",0.68408,0.88238
10,"(10,)",0.68368,0.88232
11,"(11,)",0.68448,0.8826
12,"(12,)",0.68432,0.88224
13,"(13,)",0.68382,0.88232
14,"(14,)",0.6834,0.88306
15,"(0,1)",0.67702,0.8773
16,"(0,2)",0.67802,0.87826
17,"(0,3)",0.67908,0.87886
18,"(0,4)",0.67966,0.87942
19,"(0,5)",0.67964,0.8789
20,"(0,6)",0.67974,0.87862
21,"(0,7)",0.67988,0.8788
22,"(0,8)",0.68056,0.87972
23,"(0,9)",0.67974,0.87862
24,"(0,10)",0.68012,0.87892
25,"(0,11)",0.67996,0.87936
26,"(0,12)",0.67968,0.8787
27,"(0,13)",0.67934,0.87906
28,"(0,14)",0.67918,0.8792
29,"(1,2)",0.68248,0.8817
30,"(1,3)",0.68202,0.88202
31,"(1,4)",0.6828,0.88194
32,"(1,5)",0.68274,0.88172
33,"(1,6)",0.68268,0.88162
34,"(1,7)",0.68288,0.8815
35,"(1,8)",0.68282,0.88204
36,"(1,9)",0.68322,0.8816
37,"(1,10)",0.68334,0.88122
38,"(1,11)",0.68348,0.88208
39,"(1,12)",0.68312,0.88156
40,"(1,13)",0.6832,0.88176
41,"(1,14)",0.68256,0.88198
42,"(2,3)",0.68282,0.88168
43,"(2,4)",0.68294,0.88148
44,"(2,5)",0.6842,0.88176
45,"(2,6)",0.68352,0.8814
46,"(2,7)",0.68342,0.88124
47,"(2,8)",0.68366,0.88184
48,"(2,9)",0.6835,0.88114
49,"(2,10)",0.68374,0.88138
50,"(2,11)",0.68392,0.88192
51,"(2,12)",0.68376,0.88142
52,"(2,13)",0.68334,0.88112
53,"(2,14)",0.68378,0.8817
54,"(3,4)",0.68302,0.88264
55,"(3,5)",0.68306,0.88226
56,"(3,6)",0.68288,0.88194
57,"(3,7)",0.68286,0.8824
58,"(3,8)",0.68274,0.88266
59,"(3,9)",0.68316,0.88248
60,"(3,10)",0.68324,0.88194
61,"(3,11)",0.6834,0.88264
62,"(3,12)",0.6827,0.88258
63,"(3,13)",0.6825,0.88246
64,"(3,14)",0.6828,0.88286
65,"(4,5)",0.68304,0.88204
66,"(4,6)",0.6833,0.882
67,"(4,7)",0.68294,0.88218
68,"(4,8)",0.68304,0.8826
69,"(4,9)",0.68354,0.88184
70,"(4,10)",0.6831,0.882
71,"(4,11)",0.68388,0.88242
72,"(4,12)",0.6839,0.88198
73,"(4,13)",0.6836,0.88192
74,"(4,14)",0.68332,0.88216
75,"(5,6)",0.68374,0.8823
76,"(5,7)",0.68428,0.8822
77,"(5,8)",0.68438,0.88268
78,"(5,9)",0.68418,0.8826
79,"(5,10)",0.68398,0.88228
80,"(5,11)",0.68454,0.88248
81,"(5,12)",0.6847,0.8822
82,"(5,13)",0.68436,0.8822
83,"(5,14)",0.68338,0.88254
84,"(6,7)",0.68348,0.88196
85,"(6,8)",0.6838,0.88266
86,"(6,9)",0.68352,0.88198
87,"(6,10)",0.6834,0.88158
88,"(6,11)",0.68364,0.88224
89,"(6,12)",0.68408,0.88202
90,"(6,13)",0.68348,0.88222
91,"(6,14)",0.6832,0.88218
92,"(7,8)",0.68402,0.88242
93,"(7,9)",0.6842,0.88234
94,"(7,10)",0.6838,0.88182
95,"(7,11)",0.68368,0.88242
96,"(7,12)",0.68404,0.88172
97,"(7,13)",0.6837,0.88218
98,"(7,14)",0.68356,0.88234
99,"(8,9)",0.6841,0.88268
100,"(8,10)",0.68432,0.88226
101,"(8,11)",0.68422,0.88298
102,"(8,12)",0.68436,0.88226
103,"(8,13)",0.68366,0.88244
104,"(8,14)",0.68328,0.88276
105,"(9,10)",0.68384,0.8821
106,"(9,11)",0.68414,0.88238
107,"(9,12)",0.68412,0.88216
108,"(9,13)",0.68348,0.88214
109,"(9,14)",0.68392,0.88188
110,"(10,11)",0.68382,0.88214
111,"(10,12)",0.6834,0.8814
112,"(10,13)",0.68362,0.88222
113,"(10,14)",0.6834,0.88232
114,"(11,12)",0.68448,0.88208
115,"(11,13)",0.68452,0.88286
116,"(11,14)",0.68434,0.88242
117,"(12,13)",0.6843,0.88174
118,"(12,14)",0.68384,0.88208
119,"(13,14)",0.6835,0.88264
