,name,top1,top5
0,"(1,3,6,10,12,13,14)",0.682,0.87988
1,"(0,1,5,6,9,10,12,14)",0.67562,0.87614
2,"(0,1,2,3,4,5,6,7,8,14)",0.67372,0.87514
3,"(0,1,3,6,7,9,11,13)",0.67558,0.8753
4,"(1,4,7,8,9,13)",0.68248,0.8812
5,"(1,3,5,6,8,11,14)",0.68184,0.88146
6,"(0,2,4,5,8,9,10,11,14)",0.67772,0.87794
7,"(4,5,6,7,8,9,11,14)",0.68314,0.88112
8,"(4,5,8,9,10,11)",0.68338,0.88184
9,"(2,4,5,6,9,11,12,14)",0.68358,0.88018
10,"(0,1,2,3,4,7,8,10,12,13)",0.6733,0.87484
11,"(3,5,6,7,8,10,11,12)",0.68304,0.88076
12,"(0,3,4,5,7,8,10)",0.67862,0.87846
13,"(5,6,9,12,14)",0.68384,0.88144
14,"(1,3,4,7,8,11,13)",0.68186,0.8813
15,"(1,2,3,5,8,11,13)",0.68222,0.88132
16,"(0,2,8,12)",0.67792,0.87814
17,"(2,3,5,9,13)",0.68278,0.88126
18,"(0,3,4,5,7,11,13,14)",0.67832,0.87848
19,"(4,5,6,14)",0.6828,0.8812
20,"(1,3,5,6,8,11,12)",0.68276,0.88104
21,"(2,3,4,7,8,12,13,14)",0.68238,0.88086
22,"(0,1,4,7,9,10,13)",0.67532,0.8758
23,"(1,2,5,6,7,8,10,11,13)",0.6817,0.88042
24,"(0,1,3,5,6,7,8,9,12,14)",0.675,0.87572
25,"(1,3,5,8,9,10)",0.6822,0.88096
26,"(0,4,9,10,13,14)",0.67904,0.87804
27,"(0,1,2,3,4,9,14)",0.67384,0.87544
28,"(1,2,4,7,11,13)",0.68258,0.8806
29,"(2,3,5,10,11,12,13,14)",0.68278,0.88042
30,"(2,3,4,5,9,12,14)",0.68326,0.88078
31,"(2,4,6,8,9,12,13)",0.68288,0.88006
32,"(5,6,7,11,12,13,14)",0.68428,0.88122
33,"(2,3,4,5,8,9,11,12,14)",0.68388,0.881
34,"(0,1,2,3,4,9,13,14)",0.67372,0.87516
35,"(5,6,10,12,13,14)",0.68388,0.88068
36,"(0,3,5,6,8,9,11,13,14)",0.67828,0.8782
37,"(0,1,2,6,7,8,9,10,11,12)",0.6746,0.87478
38,"(1,3,5,6,8,10,11,14)",0.6816,0.88064
39,"(0,1,2,3,4,5,6,7,9,10,12,14)",0.67218,0.87358
40,"(0,3,5,6,8,10,11,14)",0.67912,0.87818
41,"(1,3,8,9,10,14)",0.6819,0.88088
42,"(0,2,4,5,6,7,9,11,12,13,14)",0.67726,0.8771
43,"(2,3,5,6,7,12)",0.68288,0.88102
44,"(1,3,4,5,6,9,11,13)",0.68184,0.88052
45,"(1,2,7,8,9,10,13,14)",0.68244,0.88044
46,"(0,1,2,4,8,10,12,13,14)",0.6742,0.8752
47,"(0,2,4,5,8,10,12,14)",0.6775,0.878
48,"(0,1,2,4,5,10,12,14)",0.6748,0.87556
49,"(2,10,14)",0.68342,0.88178
50,"(1,3,5,7,9,10)",0.68212,0.88048
51,"(1,2,4,5,9,10,11)",0.68198,0.88024
52,"(0,1,2,3,4,5,6,7,8,9,11,13,14)",0.67358,0.87492
53,"(0,1,8,10,11,12,13,14)",0.6765,0.87658
54,"(2,8,10,11,13,14)",0.68374,0.8813
55,"(2,3,7,8,9,10,12)",0.68298,0.8805
56,"(0,2,4,5,7,8,10,11,13,14)",0.67786,0.87838
57,"(1,3,4,5,7,11,12,14)",0.68204,0.88062
58,"(2,5,6,7,8,10,11,13)",0.6831,0.88084
59,"(1,2,3,4,5,7,8,9)",0.6811,0.88106
60,"(0,1,3,6,7,8,9,11,12,14)",0.6752,0.8759
61,"(0,1,5,6,9,11,13,14)",0.67654,0.8769
62,"(0,1,2,3,5,6,9,11,12,13,14)",0.67348,0.87466
63,"(0,2,3,5,6,8,12,13)",0.67664,0.87766
64,"(0,1,2,4,5,6,7,9,11,14)",0.67466,0.87488
65,"(0,1,2,3,4,8)",0.67406,0.87628
66,"(2,4,6,7,8,9,14)",0.6828,0.88088
67,"(0,3,4,5,6,10,11)",0.67812,0.87816
68,"(4,6,8,9,13,14)",0.68312,0.88148
69,"(1,2,6,10,12)",0.68184,0.88022
70,"(1,4,5,8,14)",0.68216,0.88204
71,"(0,3,4,6,8,10,12,13,14)",0.67776,0.8776
72,"(0,3,4,5,10,12,14)",0.67856,0.87768
73,"(1,4,9,11,12,14)",0.6821,0.88134
74,"(1,4,6,10)",0.68276,0.8808
75,"(2,3,5,7,8,10,13)",0.68344,0.8813
76,"(0,1,3,7,8,10,11,12,14)",0.67596,0.87564
77,"(1,5,7,8,9,10,12,13,14)",0.68222,0.88064
78,"(1,2,3,4,5,8,9,10,11)",0.68168,0.88024
79,"(0,4,7,8,10,14)",0.67976,0.87846
