,name,top1,top5
0,"(1,3,6,10,12,13,14)",0.682,0.87988
1,"(0,1,5,6,9,10,12,14)",0.67562,0.87614
2,"(0,1,2,3,4,5,6,7,8,14)",0.67372,0.87514
3,"(0,1,3,6,7,9,11,13)",0.67558,0.8753
4,"(1,4,7,8,9,13)",0.68248,0.8812
5,"(1,3,5,6,8,11,14)",0.68184,0.88146
6,"(0,2,4,5,8,9,10,11,14)",0.67772,0.87794
7,"(4,5,6,7,8,9,11,14)",0.68314,0.88112
8,"(4,5,8,9,10,11)",0.68338,0.88184
9,"(2,4,5,6,9,11,12,14)",0.68358,0.88018
10,"(0,1,2,3,4,7,8,10,12,13)",0.6733,0.87484
11,"(3,5,6,7,8,10,11,12)",0.68304,0.88076
12,"(0,3,4,5,7,8,10)",0.67862,0.87846
13,"(5,6,9,12,14)",0.68384,0.88144
14,"(1,3,4,7,8,11,13)",0.68186,0.8813
15,"(1,2,3,5,8,11,13)",0.68222,0.88132
16,"(0,2,8,12)",0.67792,0.87814
17,"(2,3,5,9,13)",0.68278,0.88126
18,"(0,3,4,5,7,11,13,14)",0.67832,0.87848
