n01751748,n01729322,n01737021,n01753488,n01744401
n04228054,n09193705,n04208210,n03792972,n04229816
n02106030,n02105855,n02090622,n01440764,n03776460
n07930864,n07920052,n04263257,n03063599,n07932039
n03131574,n03125729,n02804414,n03482405,n03026506
n01755581,n01751748,n01756291,n01740131,n01744401
n02346627,n01872401,n02447366,n02361337,n01514859
n04409515,n03938244,n04116512,n02776631,n04039381
n01688243,n02137549,n01694178,n13133613,n12144580
n02328150,n02085936,n02098413,n02123394,n02113624
n01917289,n09256479,n07754684,n02655020,n02526121
n02125311,n02129165,n02128385,n02127052,n02128925
n02484975,n02486261,n02493509,n02494079,n02487347
n04065272,n03776460,n03796401,n03895866,n03769881
n03496892,n04428191,n07802026,n04467665,n04465501
n02066245,n01440764,n03775546,n03776460,n03777568
n01443537,n01632777,n07768694,n12620546,n04208210
n01608432,n01824575,n01616318,n01818515,n02012849
n02971356,n04009552,n03337140,n04125021,n03179701
n03126707,n03532672,n04366367,n03933933,n04311004
n02346627,n02490219,n02137549,n01872401,n02356798
n02091244,n02091134,n02091831,n02412080,n02089973
n07742313,n04493381,n03991062,n04254120,n07753113
n03956157,n03220513,n03788195,n04346328,n03388043
n01616318,n01608432,n01514859,n01614925,n03788365
n04380533,n03637318,n03179701,n04179913,n01440764
n02114548,n02114367,n02412080,n02134084,n02110185
n02089867,n02109525,n02088364,n02093428,n02089973
n01729977,n01740131,n01693334,n01739381,n01749939
n03903868,n03220513,n04435653,n03661043,n03877845
n02280649,n02281406,n02277742,n02281787,n03991062
n03444034,n04037443,n03649909,n03384352,n02704792
n02444819,n02095570,n04275548,n02077923,n01698640
n02788148,n09835506,n03763968,n04507155,n04371774
n03478589,n04389033,n02950826,n03763968,n04008634
n04532106,n02895154,n03000247,n02699494,n03146219
n01630670,n01632777,n01631663,n01685808,n01687978
n02666196,n02672831,n03998194,n04501370,n04125021
n04548362,n03527444,n03709823,n04141327,n04525038
n01773797,n01776313,n04275548,n01773549,n01770393
n02804414,n03125729,n03131574,n03188531,n04235860
n04049303,n02795169,n03776460,n01440764,n03775071
n02006656,n02002724,n02012849,n02007558,n02009912
n02097209,n02097047,n02097130,n02098105,n02093991
n02111277,n02108551,n02099267,n02106382,n02110627
n04380533,n03063689,n03950228,n04560804,n03637318
n03393912,n01440764,n03775546,n03776460,n03777568
n02108089,n02089867,n02089973,n02109525,n02088364
n02930766,n03930630,n04037443,n04146614,n02974003
n02536864,n02927161,n02514041,n01440764,n04550184
n02268443,n01828970,n01797886,n01824575,n01687978
n01632777,n01440764,n03773504,n03775071,n03775546
n04372370,n03773504,n03775071,n03775546,n03776460
n03485794,n01440764,n03775546,n03776460,n03777568
n02443114,n02443484,n02441942,n02342885,n02442845
n02930766,n04146614,n02814533,n03670208,n03459775
n02112018,n02086079,n02112137,n02112350,n02085620
n13040303,n12998815,n13054560,n07734744,n12985857
n04485082,n04367480,n03372029,n04228054,n02906734
n03482405,n03916031,n04041544,n03666591,n03314780
n03980874,n02963159,n03594734,n04325704,n03124043
n02102973,n02099429,n02097130,n02113799,n02106382
n01910747,n01496331,n01498041,n01484850,n01491361
n01693334,n01682714,n01687978,n01630670,n01675722
n04371430,n02837789,n03710637,n03888605,n03325584
n02526121,n02655020,n02606052,n09256479,n01917289
n01871265,n02504458,n02504013,n01440764,n03773504
n04532106,n03998194,n03814906,n02699494,n04127249
n04482393,n03623198,n02909870,n04133789,n03720891
n04370456,n03617480,n03980874,n04356056,n04584207
n02536864,n02514041,n02056570,n01818515,n02640242
n02074367,n01491361,n01496331,n02077923,n01484850
n01608432,n01614925,n02018795,n01795545,n02002556
n02966193,n04371774,n04509417,n04462240,n01440764
n01795545,n01514668,n01514859,n01798484,n01797886
n04200800,n02791270,n04462240,n04081281,n04443257
n02087394,n02090379,n02109047,n02100583,n02093991
n02116738,n02109047,n02117135,n01440764,n03776460
n02091635,n02090721,n02093991,n02096437,n02094114
n02895154,n04192698,n02939185,n03146219,n03786901
n09193705,n09468604,n09246464,n09332890,n03792782
n02088094,n02111277,n02105251,n01440764,n03776460
n04200800,n03721384,n03838899,n04296562,n03089624
n01631663,n01737021,n01945685,n01641577,n01980166
n04037443,n04285008,n03100240,n02814533,n04461696
n03032252,n04081281,n03775071,n03775546,n03776460
n02483362,n02483708,n02492660,n02493509,n02492035
